Expected,ExpectedReRef,NationCheck
아프가니스탄,(Afghanistan),Nation
카불,(Kabul|카불|카부르|카불)
벨기에,(Belgium),Nation
벨리즈,(Belize),Nation
베냉,(Benin),Nation
부탄,(Bhutan),Nation
볼리비아,(Bolivia),Nation
보스니아 헤르체고비나,(Bosnia and Herzegovina),Nation
보츠와나,(Botswana),Nation
브라질,(Brazil),Nation
불가리아,(Bulgaria),Nation
부르키나 파소,(Burkina Faso),Nation
미얀마,(Burma|버마|Myanmar),Nation
부룬디,(Burundi),Nation
캄보디아,(Cambodia),Nation
카메룬,(Cameroon),Nation
캐나다,(Canada),Nation
토론토,(토론토|Toronto),
밴쿠버,(밴쿠버|Vancouver),
몬트리올,(몬트리올|Montreal),
칼거리,(칼거리|Calgary),
오타와,(오타와|Ottawa),
에드먼턴,(에드먼턴|Edmonton),
퀘벡시티,(퀘벡시티|Quebec City),
밴프,(밴프|Banff),
빅토리아,(빅토리아|Victoria),
위니펙,(위니펙|Winnipeg),
프레더릭턴,(프레더릭턴|Fredericton),
레지나,(레지나|Regina),
킨스턴,(킨스턴|Kingston),
프린스 에드워드 아일랜드,(프린스 에드워드 아일랜드|Prince Edward Island),
샤토게,(샤토게|Saskatoon),
퍼서널즈,(퍼서널즈|Personals),
토론토 동,(토론토 동|Toronto East),
중앙 아프리카 공화국,(Central African Republic),Nation
차드,(Chad),Nation
칠레,(Chile),Nation
중국,(China),Nation
베이징,(Beijing|북경)
상하이,(Shanghai|상해)
광저우,(Guangzhou)
심천,(Shenzhen|심전)
산동,(Shandong|산동)
허페이,(Harbin|허베이)
청도,(Qingdao|칭다오)
나징,(Nanjing|난징)
대련,(Dalian|대련)
쿤밍,(Kunming|쿤밍)
우루무치,(Urumqi|우루무치)
청하이,(Qinghai|청하이)
장자,(Changsha|장사)
하이코우,(Haikou|하이커우)
타이위안,(Taiyuan|타이위안)
싼야,(Xi'an|시안)
우한,(Wuhan|우한)
홍콩,(Hong Kong|홍콩)
마카오,(Macau|마카오)
칭두,(Qingdu|칭두)
텐진,(Tianjin|톈진)
미안양,(Nanning|미안양)
산샨,(Shanxi|산샨)
싼셴,(Shaanxi|샨시)
호타이,(Hohhot|호호트)
지린,(Jilin|지린)
창춘,(Changchun|창춘)
우시,(Wuxi|우시)
산둥,(Shandong|산둥)
태안,(Taian|태안)
베이하이,(Beihai|북해)
광둥,(Guangdong|광동)
자인진,(Zhanjiang|장장)
항저우,(Hangzhou|항저우)
닝보,(Ningbo|닝보)
샤먼,(Xiamen|샤먼)
난찡,(Nanning|난닝)
서둥,(Suzhou|서주)
쑨타,(Xianyang|시안양)
칭저우,(Qingzhou|칭저우)
난닝,(Nanjing|난닝)
인다오,(Indao|인다오)
쯔린,(Zhujiang|쥐장)
중저우,(Zhongzhou|중저우)
라사,(Lhasa|라사)
맨저우,(Mianyang|면양)
런저우,(Lanzhou|란저우)
쑨야,(Xinyang|신양)
슈저우,(Shuozhou|수주)
츄바,(Chuva|추바)
콜롬비아,(Colombia),Nation
콩고,(CongoKinshasa|키나사사),Nation
콩고 민주 공화국,(CongoBrazzaville),Nation
쿡 제도,(Cook Islands),Nation
코스타리카,(Costa Rica),Nation
크로아티아,(Croatia),Nation
쿠바,(Cuba|큐바),Nation
키프로스,(Cyprus),Nation
체코 공화국,(Czech Republic),Nation
덴마크,(Denmark),Nation
지부티,(Djibouti),Nation
도미니카 공화국,(Dominican Republic),Nation
도미니카 연방,(Dominica),Nation
동티모르,(East Timor),Nation
에콰도르,(Ecuador),Nation
이집트,(Egypt),Nation
엘살바도르,(El Salvador),Nation
기니,(Equatorial Guinea),Nation
에리트레아,(Eritrea),Nation
에스토니아,(Estonia),Nation
에스와티니,(Eswatini - formerly Swaziland|스와질란드),Nation
에티오피아,(Ethiopia),Nation
피지,(Fiji),Nation
핀란드,(Finland),Nation
프랑스,(France),Nation
파리,(파리|Paris),
마르세유,(마르세유|Marseille|Marseilles),
리옹,(리옹|Lyon|Lyons),
톨루즈,(톨루즈|Toulouse),
니스,(니스|Nice),
보르도,(보르도|Bordeaux),
낭트,(낭트|Nantes),
스트라스부르,(스트라스부르|Strasbourg),
리유네,(리유네|Reims),
칸,(칸|Cannes),
라일,(라일|Lille),
피레네스,(피레네스|Pyrenees),
루아르,(루아르|Rouen),
페르피냥,(페르피냥|Perpignan),
트로아,(트로아|Troyes),
베를린,(베를린|Berlin),
마스세일,(마스세일|Marseille|Marseilles),
캔,(캔|Cannes),
안트워프,(안트워프|Antwerp|Antwerpen),
르완,(르완|Le Havre),
프랑크푸르트,(프랑크푸르트|Frankfurt),
제노바,(제노바|Genoa|Genova),
톨로사,(톨로사|Tolosa),
뤼플레로,(뤼플레로|Lufllero),
노르초트라크,(노르초트라크|Norrchotruck),
마라케시,(마라케시|Marakeshi|Marrakech),
몽펠리에,(몽펠리에|Montpellier),
하바나,(하바나|Havana),
페기,(페기|Pegi),
에버렛,(에버렛|Everett),
칸터베리,(칸터베리|Canterbury),
사라곤,(사라곤|Saragon),
레이크타운,(레이크타운|Laketown),
셀라,(셀라|Sela),
네이플,(네이플|Naples),
와이칸,(와이칸|Waikane),
몬트랙,(몬트랙|Montrach),
벨리움,(벨리움|Bellium),
파이드몬트,(파이드몬트|Piedmont),
루싱톤,(루싱톤|Lucington),
베리스,(베리스|Veris),
엘베리,(엘베리|Elberry),
모비덴,(모비덴|Mobi),
마르카르도,(마르카르도|Markardo),
라비다,(라비다|Lavida),
안드라드,(안드라드|Andrad),
가봉,(Gabon),Nation
감비아,(Gambia),Nation
조지아,(Georgia),Nation
독일,(Germany),Nation
가나,(Ghana),Nation
그리스,(Greece),Nation
그레나다,(Grenada),Nation
과테말라,(Guatemala),Nation
기니,(Guinea),Nation
기니 비사우,(Guinea-Bissau),Nation
가이아나,(Guyana),Nation
아이티,(Haiti),Nation
온두라스,(Honduras),Nation
헝가리,(Hungary),Nation
아이슬란드,(Iceland),Nation
인도,(India),Nation
인도네시아,(Indonesia),Nation
이란,(Iran),Nation
이라크,(Iraq),Nation
아일랜드,(Ireland),Nation
이스라엘,(Israel),Nation
이탈리아,(Italy),Nation
자메이카,(Jamaica),Nation
일본,(Japan),Nation
도쿄,(Tokyo|도쿄|토쿄)
오사카,(Osaka|오사카|오사까)
나고야,(Nagoya|나고야|나고야시)
후쿠오카,(Fukuoka|후쿠오카)
코베,(Kobe|코베)
사이타마,(Saitama|사이타마)
카와사키,(Kawasaki|카와사키)
후쿠시마,(Fukushima|후쿠시마)
쿠로사와,(Kurosawa|쿠로사와)
가마고리,(Kamagori|가마고리)
후지이다,(Fujiida|후지이다)
아키타,(Akita|아키타)
나라,(Nara|나라)
마쓰모토,(Matsumoto|마쓰모토)
아오모리,(Aomori|아오모리)
사가,(Saga|사가)
미야자키,(Miyazaki|미야자키)
아카시,(Akashi|아카시)
아카미즈,(Akamizu|아카미즈)
고자,(Koja|고자)
오타루,(Otaru|오타루)
히메지,(Himeji|히메지)
후쿠야마,(Fukuyama|후쿠야마)
나하,(Naha|나하)
가자,(Kaja|가자)
나가노,(Nagano|나가노)
히로시마,(Hiroshima|히로시마)
코치,(Kochi|코치)
이와마,(Iwama|이와마)
나리타,(Narita|나리타)
다카마츠,(Takamatsu|다카마츠)
오카야마,(Okayama|오카야마)
카잔,(Kazan|카잔)
카마쿠라,(Kamakura|카마쿠라)
마사무네,(Masamune|마사무네)
토코로즈와,(Tokorozawa|토코로즈와)
나오야,(Naoya|나오야)
카마자와,(Kamazawa|카마자와)
다마츠,(Tamatsu|다마츠)
고야,(Goya|고야)
가노,(Kano|가노)
카쿠다,(Kakuda|카쿠다)
다자이후,(Dazaifu|다자이후)
오구라,(Ogura|오구라)
다야마,(Tayama|다야마)
아가오,(Agao|아가오)
마야브,(Mayabu|마야브)
고타마,(Gotama|고타마)
모치다,(Mochida|모치다)
카와라바,(Kawaraba|카와라바)
요르단,(Jordan),Nation
카자흐스탄,(Kazakhstan),Nation
케냐,(Kenya),Nation
키리바시,(Kiribati),Nation
코소보,(Kosovo),Nation
쿠웨이트,(Kuwait),Nation
라오스,(Laos),Nation
라트비아,(Latvia),Nation
레바논,(Lebanon),Nation
레소토,(Lesotho),Nation
리베리아,(Liberia),Nation
리비아,(Libya),Nation
라이히텐슈타인,(Liechtenstein),Nation
리투아니아,(Lithuania),Nation
룩셈부르크,(Luxembourg),Nation
마다가스카르,(Madagascar),Nation
말라위,(Malawi),Nation
말레이시아,(Malaysia),Nation
몰디브,(Maldives),Nation
말리,(Mali),Nation
몰타,(Malta),Nation
마셜 제도,(Marshall Islands),Nation
모리타니아,(Mauritania),Nation
모리셔스,(Mauritius),Nation
멕시코,(Mexico),Nation
미크로네시아,(Micronesia),Nation
몰도바,(Moldova),Nation
모나코,(Monaco),Nation
몽골,(Mongolia|몽고),Nation
몬테네그로,(Montenegro),Nation
모로코,(Morocco),Nation
모잠비크,(Mozambique),Nation
남아프리카 공화국,(South Africa),Nation
남수단,(South Sudan),Nation
나우루,(Nauru),Nation
네팔,(Nepal),Nation
네덜란드,(Netherlands),Nation
뉴질랜드,(New Zealand),Nation
니카라과,(Nicaragua),Nation
니제르,(Niger),Nation
나이지리아,(Nigeria),Nation
북한,(North Korea),Nation
북마케도니아,(North Macedonia),Nation
노르웨이,(Norway),Nation
오만,(Oman),Nation
파키스탄,(Pakistan),Nation
팔라우,(Palau),Nation
파레스타인,(Palestine),Nation
판라마,(Panama),Nation
파푸아 뉴기니,(Papua New Guinea),Nation
파라과이,(Paraguay),Nation
페루,(Peru),Nation
필리핀,(Philippines|Philippine),Nation
폴란드,(Poland),Nation
포르투갈,(Portugal),Nation
카타르,(Qatar),Nation
남수단,(South Sudan),Nation
루마니아,(Romania),Nation
러시아,(Russia),Nation
루완다,(Rwanda),Nation
세인트 키츠 네비스,(Saint Kitts and Nevis),Nation
세인트 루시아,(Saint Lucia),Nation
세인트 빈센트 그레나딘,(Saint Vincent and the Grenadines),Nation
사모아,(Samoa),Nation
산마리노,(San Marino),Nation
상투메 프린시페,(Sao Tome and Principe),Nation
사우디 아라비아,(Saudi Arabia),Nation
세네갈,(Senegal),Nation
세르비아,(Serbia),Nation
세이셸,(Seychelles),Nation
시에라 리온,(Sierra Leone),Nation
싱가포르,(Singapore),Nation
슬로바키아,(Slovakia),Nation
슬로베니아,(Slovenia),Nation
솔로몬 제도,(Solomon Islands),Nation
소말리아,(Somalia),Nation
남아프리카 공화국,(South Africa),Nation
한국,(South Korea|대한민국),Nation
서울,(Seoul|서울|소울)
부산,(Busan|부산|푸산)
인천,(Incheon|인천)
대구,(Daegu|대구)
대전,(Daejeon|대전)
광주,(Gwangju|광주)
울산,(Ulsan|울산)
수원,(Suwon|수원)
고양,(Goyang|고양)
성남,(Seongnam|성남)
안양,(Anyang|안양)
부천,(Bucheon|부천)
안산,(Ansan|안산)
평택,(Pyeongtaek|평택)
창원,(Changwon|창원)
포항,(Pohang|포항)
과천,(Gwacheon|과천)
구리,(Guri|구리)
의정부,(Uijeongbu|의정부)
남양주,(Namyangju|남양주)
양평,(Yangpyeong|양평)
광명,(Gwangmyeong|광명)
안성,(Anseong|안성)
이천,(Icheon|이천)
파주,(Paju|파주)
연천,(Yeoncheon|연천)
화성,(Hwaseong|화성)
김포,(Gimpo|김포)
양주,(Yangju|양주)
여주,(Yeoju|여주)
포천,(Pocheon|포천)
가평,(Gapyeong|가평)
고양,(Goyang|고양)
양평,(Yangpyeong|양평)
안양,(Anyang|안양)
동두천,(Dongducheon|동두천)
의왕,(Uiwang|의왕)
하남,(Hanam|하남)
오산,(Osan|오산)
군포,(Gunpo|군포)
의왕,(Uiwang|의왕)
과천,(Gwacheon|과천)
안성,(Anseong|안성)
군포,(Gunpo|군포)
하남,(Hanam|하남)
오산,(Osan|오산)
동두천,(Dongducheon|동두천)
가평,(Gapyeong|가평)
여주,(Yeoju|여주)
포천,(Pocheon|포천)
남수단,(South Sudan),Nation
스페인,(Spain),Nation
마드리드,(마드리드|Madrid),
바르셀로나,(바르셀로나|Barcelona|바르세로나),
발렌시아,(발렌시아|Valencia|발렌시아),
세비야,(세비야|Seville|세빌리아),
사라고사,(사라고사|Saragossa|Zaragoza|사라고사),
말라가,(말라가|Malaga|말라가),
빌바오,(빌바오|Bilbao|빌바오),
팔마데마요르카,(팔마데마요르카|Palma de Mallorca|마요르카 섬|마요르카),
무르시아,(무르시아|Murcia|무르시아),
카디스,(카디스|Cadiz|카디스),
코르돠바,(코르돠바|Cordoba|코르도바),
그라나다,(그라나다|Granada|그라나다),
말라가,(말라가|Malaga|말라가),
오비에도,(오비에도|Oviedo|오비에도),
바라무데이,(바라무데이|Valladolid|바야돌리드|바라무데이),
카세레스,(카세레스|Caceres|카세레스),
톨레도,(톨레도|Toledo|톨레도),
산테안데스, (산테안데스|Santander|산탄데르),
그와다라하라,(그와다라하라|Guadalajara|과달라하라),
메리다,(메리다|Merida|메리다),
알리칸테,(알리칸테|Alicante|알리칸테),
에이라스,(에이라스|Almeria|알메리아),
레온,(레온|Leon|레온),
푸에르톨라피아스,(푸에르톨라피아스|Puerto de la Cruz|푸에르토 델라크루즈|푸에르톨라크루즈),
파마,(파마|Pamplona|파라마),
테루엘,(테루엘|Teruel|테루엘),
할라퓨,(할라퓨|Huelva|훨바),
카스텔론데라플라나, (카스텔론데라플라나|Castellon de la Plana|카스텔론데라플라나),
아비폰,(아비폰|Avignon|아비뇽),
토로르메하, (토로르메하|Torremolinos|토레몰리노스),
로렌치노,(로렌치노|Lorencinho|로렌치노),
토리바, (토리바|Tortosa|토르토사),
오르히멘,(오르히멘|Orihuela|오리후엘라),
로세스,(로세스|Roses|로제스),
마르벨야, (마르벨야|Marbella|마르베야),
푸에르토데라스루스, (푸에르토데라스루스|Puerto de las Cruz|푸에르토 델라스크루즈),
제로나, (제로나|Girona|히로나),
발데스, (발데스|Badajoz|바다호스),
제카, (제카|Xeca|제카),
페빌라데이갈라덱스, (페빌라데이갈라덱스|Peniscola|페니스콜라),
오르히메다,(오르히메다|Orihuela|오리후엘라),
로세스, (로세스|Roses|로제스),
마라바, (Javea|자베아),
카스테요, (카스테요|Castelldefels|카스텔데펠스),
카드라카스, (카드라카스|Cartagena|카르타헤나),
카푸치노, (카푸치노|Cappuccino|카푸치노),
설비아, (설비아|Sevilla|세빌리아),
비구르리아, (비구르리아|Vigo|비고),
베스카야, (베스카야|Vescaya|비스카야),
에라코, (에라코|Elche|엘체),
산프란시스코,(산프란시스코|San Francisco|샌프란시스코),
엘베리,(엘베리|Elberry|엘베리),
스리랑카,(Sri Lanka|쓰리랑카),Nation
수단,(Sudan),Nation
수리남,(Suriname),Nation
스웨덴,(Sweden),Nation
스위스,(Switzerland),Nation
시리아,(Syria),Nation
타이완,(Taiwan),Nation
타지키스탄,(Tajikistan),Nation
탄자니아,(Tanzania),Nation
태국,(Thailand),Nation
티모르,(Timor-Leste),Nation
토고,(Togo),Nation
통가,(Tonga),Nation
트리니다드와 토바고,(Trinidad and Tobago),Nation
튀니지,(Tunisia),Nation
튀르키에,(Turkye|터키),Nation
투르크메니스탄,(Turkmenistan),Nation
우간다,(Uganda),Nation
우크라이나,(Ukraine),Nation
아랍 에미리트,(United Arab Emirates|아랍에미레이트),Nation
영국,(United Kingdom),Nation
런던,(London|런던)
맨체스터,(Manchester|맨체스터)
리버풀,(Liverpool|리버풀)
버밍엄,(Birmingham|버밍엄)
브리스톨,(Bristol|브리스톨)
뉴캐슬,(Newcastle|뉴캐슬)
리즈,(Leeds|리즈)
글래스고,(Glasgow|글래스고)
셰필드,(Sheffield|세필드)
노팅엄,(Nottingham|노팅엄)
에든버러,(Edinburgh|에든버러)
리딩,(Reading|리딩)
리치몬드,(Richmond|리치몬드)
애버딘,(Aberdeen|에버딘)
코벤트리,(Coventry|코벤트리)
부라이우드,(Bradford|부라이우드)
카딜런,(Cardiff|카딜런)
나이트런,(Brighton|나이트런)
베스트미니스터,(Belfast|베스트미니스터)
블랙풀,(Blackpool|블랙풀)
리처드스,(Richards|리처드스)
리튼,(Leighton|리튼)
더드리,(Derry|더드리)
애터마톤,(Atherstone|애터마톤)
스트라토드,(Stratford|스트라토드)
키르크칼디,(Kirkcaldy|키르크칼디)
피터리,(Peterlee|피터리)
헤로퍼드,(Hereford|헤로퍼드)
포트스마스,(Portsmouth|포트스마스)
그린오크,(Greenock|그린오크)
웨이크필드,(Wakefield|웨이크필드)
노스햄튼,(Northampton|노스햄튼)
런던데리,(Derry|데어)
카리슈페어,(Caerphilly|카리슈페어)
헤바나,(Havana|헤바나)
리슬리프,(Lisburn|리슬리프)
블리타니아,(Britannia|블리타니아)
케스크리글,(Kirkcudbright|케스크리글)
스트로드,(Strood|스트로드)
카츠,(Cats|카츠)
랜슬로트,(Lancelot|랜슬로트)
키나르베르,(Kinvarra|키나르베르)
포르링란드,(Portlaoise|포르링란드)
윌튼,(Wilton|윌튼)
케릿펜,(Kerry|케릿펜)
캐슬마운트,(Castle Mount|캐슬마운트)
피터즈필드,(Petersfield|페더피어스)
헤드인버,(Headinber|헤드인버)
헨즈,(Hens|헨즈)
미국,(United States|USA|America),Nation
뉴욕,(New York|NYC|뉴욕)
로스앤젤레스,(Los Angeles|LA|엘에이|엘애이|로스앤젤레스)
시카고,(Chicago|시카고)
휴스턴,(Houston|휴스턴)
필라델피아,(Philadelphia|필라델피아)
피닉스,(Phoenix|피닉스)
샌프란시스코,(San Francisco|샌프란시스코)
워싱턴 D.C.,(Washington D.C.|워싱턴 D.C.|워싱턴)
보스턴,(Boston|보스턴|보스톤)
시애틀,(Seattle|시애틀|씨에틀|씨애틀)
라스베이거스,(Las Vegas|베가스|라스베가스)
뉴올리언스,(New Orleans|뉴올리언스)
마이애미,(Miami|마이애미)
댈러스,(Dallas|달라스)
애틀랜타,(Atlanta|애틀랜타)
데트로이트,(Detroit|디트로이트)
미니애폴리스,(Minneapolis|미네아폴리스)
센티넬러,(Centennial|센티넬러)
필모어,(Fillmore|필모어)
맨체스터,(Manchester|맨체스터)
퀸즈,(Queens|퀸즈)
브루클린,(Brooklyn|브루클린)
코로나,(Corona|코로나)
리치몬드,(Richmond|리치몬드)
오리온,(Orion|오리온)
케임브리지,(Cambridge|케임브리지)
키씸미,(Kissimmee|키사이모시)
플로렌스,(Florence|플로렌스)
로렌스,(Lawrence|로렌스)
헌팅턴비치,(Huntington Beach|헌팅턴비치)
앨랜틱시티,(Atlantic City|앨랜틱시티)
롱비치,(Long Beach|롱비치)
폴랙파인스,(Pollock Pines|폴랙파인스)
그린스보로,(Greensboro|그린스보로)
캠브리지,(Cambridge|캠브리지)
세이브러,(Savannah|세이브러)
레이크우드,(Lakewood|레이크우드)
로즈빌,(Roseville|로즈빌)
아몬데,(Almond|아몬데)
프랭클린,(Franklin|프랭클린)
맨하탄,(Manhattan|맨하탄)
샌디에고,(San Diego|샌디에이고|센디에고|샌디애고|센디애고)
알버커키,(Albuquerque|알버커기)
폰데라이씨,(Fontana|폰데라이씨)
샌안토니오,(San Antonio|샌안토니오)
스프링필드,(Springfield|스프링필드)
버번크,(Burbank|버번크)
플리머스,(Plymouth|플리머스)
나파,(Napa|나파)
애슬린,(Atherton|애슬린)
올랜도,(Orlando|올란도),
세인트루이스,(St. Louis|세인트루이스),
포틀랜드,(Portland|포틀랜드),
피츠버그,(Pittsburgh|피츠버그),
내슈빌,(Nashville|나쉬빌),
애슈빌,(Asheville|에슈빌),
올바니,(Albany|올바니),
오마하,(Omaha|오마하),
오클랜드,(Oakland|오클렌드),
멤피스,(Memphis|맴피스),
우루과이,(Uruguay),Nation
우즈베키스탄,(Uzbekistan),Nation
바누아투,(Vanuatu),Nation
베네수엘라,(Venezuela),Nation
베트남,(Vietnam),Nation
예멘,(Yemen),Nation
잠비아,(Zambia),Nation
짐바브웨,(Zimbabwe),Nation
남수단,(South Sudan),Nation
